,id,icon,site,country,missed,total,missed_count,missed_percent
76,CanalAndalucia.es,http://icon-tmdb.me/stalker_portal/misc/logos/320/10039.png?92916,,es,True,1.0,1.0,100.0
77,Mir24.ru,http://icon-tmdb.me/stalker_portal/logos/MIR-24.jpg,,ru,True,1.0,1.0,100.0
78,13.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
79,Kinomix.ru,http://icon-tmdb.me/stalker_portal/logos/KINOMIX-TV.jpg,,ru,True,1.0,1.0,100.0
80,cmorestars.fi,http://icon-tmdb.me/stalker_portal/misc/logos/320/10836.png?43159,,fi,True,1.0,1.0,100.0
81,Karusel.ru,http://icon-tmdb.me/stalker_portal/logos/KARUSEL-.png,,ru,True,1.0,1.0,100.0
82,cmorehits.fi,http://icon-tmdb.me/stalker_portal/misc/logos/320/9835.png?3263,,fi,True,1.0,1.0,100.0
83,65.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
84,22.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
85,2.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
86,20.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
87,35.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
88,24.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
89,23.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
90,19.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
91,56.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
92,57.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
93,77.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
94,54.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
